ticker,date,open,high,low,close
CISS,2023-06-22,3.51,5.2,2.8,3.7
CISS,2023-06-23,3.81,4.58,2.46,2.63
CISS,2023-06-26,2.19,2.42,1.72,1.85
CISS,2023-06-27,1.49,1.86,1.3825,1.69
CISS,2023-06-28,1.56,1.64,1.29,1.33
CISS,2023-06-29,1.25,1.44,1.1552,1.24
CISS,2023-06-30,1.27,1.29,1.07,1.11
CISS,2023-07-03,0.994,1.24,0.99,1.12
CISS,2023-07-05,1.17,1.22,1.14,1.16
CISS,2023-07-06,1.15,1.18,1.1,1.12
CISS,2023-07-07,1.13,1.23,1.09,1.16
CISS,2023-07-10,1.16,1.22,1.07,1.13
CISS,2023-07-11,1.1,1.16,1.05,1.12
CISS,2023-07-12,1.24,1.44,1.08,1.1
CISS,2023-07-13,1.12,1.14,0.97,1.0
CISS,2023-07-14,1.06,1.06,0.975,0.993
CISS,2023-07-17,1.1,1.11,0.9847,1.0
CISS,2023-07-18,0.9893,1.0,0.85,0.8719
CISS,2023-07-19,0.856,0.87,0.77,0.824
CISS,2023-07-20,0.838,0.86,0.801,0.81
CISS,2023-07-21,0.8285,0.8364,0.7537,0.7537
