ticker,date,open,high,low,close
GDTC,2023-04-14,4.0,4.1,3.48,4.0
GDTC,2023-04-17,3.75,4.19,3.75,3.76
GDTC,2023-04-18,3.65,3.85,3.64,3.64
GDTC,2023-04-19,3.5,3.69,3.5,3.5
GDTC,2023-04-20,3.45,3.45,3.26,3.33
GDTC,2023-04-21,3.5,3.6,3.295,3.3
GDTC,2023-04-24,3.42,3.5674,3.21,3.3
GDTC,2023-04-25,3.25,3.46,3.23,3.25
GDTC,2023-04-26,3.25,3.59,3.25,3.3709
GDTC,2023-04-27,3.4,3.6,3.35,3.4596
GDTC,2023-04-28,3.57,3.6,3.35,3.35
GDTC,2023-05-01,3.43,3.69,3.36,3.43
GDTC,2023-05-02,3.5599,3.8914,3.35,3.72
GDTC,2023-05-03,3.97,4.0,3.58,3.62
GDTC,2023-05-04,3.58,3.79,3.55,3.6776
GDTC,2023-05-05,3.9,3.9,3.595,3.78
GDTC,2023-05-08,3.7219,4.71,3.72,4.41
GDTC,2023-05-09,3.9,4.8,3.3201,3.55
GDTC,2023-05-10,3.33,3.336,2.88,2.9993
GDTC,2023-05-11,3.0,3.4499,2.81,2.81
GDTC,2023-05-12,2.9,3.3,2.36,2.93
GDTC,2023-05-15,2.93,3.491,2.8447,3.08
GDTC,2023-05-16,3.0671,3.32,2.85,2.98
GDTC,2023-05-17,2.92,3.2865,2.92,3.06
GDTC,2023-05-18,3.0299,3.16,2.795,2.96
GDTC,2023-05-19,3.05,3.1,2.8301,2.9
GDTC,2023-05-22,2.93,3.1399,2.8,2.84
GDTC,2023-05-23,2.9301,3.02,2.8,2.92
GDTC,2023-05-24,2.91,2.9263,2.8,2.8
GDTC,2023-05-25,2.89,2.93,2.68,2.75
GDTC,2023-05-26,2.8,2.92,2.68,2.68
GDTC,2023-05-30,2.92,2.92,2.71,2.7815
GDTC,2023-05-31,2.78,2.84,2.73,2.73
GDTC,2023-06-01,2.78,2.8,2.68,2.71
GDTC,2023-06-02,2.74,2.81,2.74,2.74
GDTC,2023-06-05,2.8186,2.8194,2.68,2.7479
GDTC,2023-06-06,2.839,2.8499,2.686,2.79
GDTC,2023-06-07,2.79,2.83,2.79,2.8
GDTC,2023-06-08,2.75,2.85,2.75,2.77
GDTC,2023-06-09,2.84,2.889,2.8,2.8813
GDTC,2023-06-12,2.9899,3.57,2.8712,3.08
GDTC,2023-06-13,3.08,3.2713,2.98,2.98
GDTC,2023-06-14,2.97,2.9926,2.76,2.8027
GDTC,2023-06-15,2.83,3.6,2.52,2.84
GDTC,2023-06-16,2.84,2.8875,2.74,2.88
GDTC,2023-06-20,3.15,3.15,2.74,2.87
GDTC,2023-06-21,2.87,2.87,2.7,2.8
GDTC,2023-06-22,2.56,2.91,2.56,2.91
GDTC,2023-06-23,2.79,2.89,2.68,2.78
GDTC,2023-06-26,2.8,3.02,2.7999,2.87
GDTC,2023-06-27,2.88,3.09,2.85,2.85
GDTC,2023-06-28,2.875,3.4317,2.8001,3.05
GDTC,2023-06-29,3.07,3.359,3.06,3.0901
GDTC,2023-06-30,3.2348,3.28,2.93,3.05
GDTC,2023-07-03,3.03,3.18,2.94,3.17
GDTC,2023-07-05,3.2,3.2,2.93,3.0688
GDTC,2023-07-06,3.1641,3.44,2.99,3.26
GDTC,2023-07-07,3.2,3.47,3.15,3.27
GDTC,2023-07-10,3.36,3.49,3.1307,3.49
GDTC,2023-07-11,7.42,9.25,5.5,5.64
GDTC,2023-07-12,5.1,5.45,4.02,4.16
GDTC,2023-07-13,4.2,5.75,4.1,4.41
GDTC,2023-07-14,4.8,4.8,4.25,4.34
GDTC,2023-07-17,4.13,4.4,4.1,4.3
GDTC,2023-07-18,4.13,4.4,4.13,4.18
GDTC,2023-07-19,4.11,4.33,3.82,4.03
GDTC,2023-07-20,4.0,4.0,3.8,3.85
GDTC,2023-07-21,3.8,4.1103,3.71,3.75
