ticker,date,open,high,low,close
MMMB,2021-07-16,2.6,2.62,2.37,2.45
MMMB,2021-07-19,2.49,2.498,2.3,2.41
MMMB,2021-07-20,2.4,2.6,2.35,2.57
MMMB,2021-07-21,2.75,2.75,2.557,2.57
MMMB,2021-07-22,2.5,2.69,2.41,2.44
MMMB,2021-07-23,2.46,2.65,2.38,2.57
MMMB,2021-07-26,2.55,2.6,2.5,2.56
MMMB,2021-07-27,2.51,2.58,2.465,2.477
MMMB,2021-07-28,2.59,2.75,2.54,2.721
MMMB,2021-07-29,2.72,2.8,2.64,2.69
MMMB,2021-07-30,2.65,2.8,2.65,2.78
MMMB,2021-08-02,2.72,2.8,2.7,2.8
MMMB,2021-08-03,2.8,2.8,2.75,2.78
MMMB,2021-08-04,2.78,2.8,2.7,2.77
MMMB,2021-08-05,2.7,2.8,2.65,2.69
MMMB,2021-08-06,2.69,2.705,2.58,2.7
MMMB,2021-08-09,2.73,2.76,2.622,2.69
MMMB,2021-08-10,2.72,2.83,2.68,2.83
MMMB,2021-08-11,2.77,2.79,2.69,2.75
MMMB,2021-08-12,2.76,2.785,2.65,2.71
MMMB,2021-08-13,2.65,2.741,2.55,2.64
MMMB,2021-08-16,2.66,2.7,2.58,2.68
MMMB,2021-08-17,2.64,2.64,2.53,2.55
MMMB,2021-08-18,2.569,2.7,2.55,2.6
MMMB,2021-08-19,2.61,2.7,2.51,2.59
MMMB,2021-08-20,2.6,2.6,2.51,2.59
MMMB,2021-08-23,2.65,2.65,2.51,2.6
MMMB,2021-08-24,2.6,2.6,2.51,2.57
MMMB,2021-08-25,2.6,2.66,2.51,2.53
MMMB,2021-08-26,2.52,2.54,2.51,2.51
MMMB,2021-08-27,2.525,2.54,2.5,2.52
MMMB,2021-08-30,2.55,2.6,2.5,2.52
MMMB,2021-08-31,2.55,2.59,2.513,2.56
MMMB,2021-09-01,2.59,2.72,2.57,2.72
MMMB,2021-09-02,2.72,2.75,2.61,2.68
MMMB,2021-09-03,2.7,2.7,2.625,2.68
MMMB,2021-09-07,2.7,2.75,2.59,2.72
MMMB,2021-09-08,2.75,2.75,2.65,2.71
MMMB,2021-09-09,2.7,2.87,2.68,2.84
MMMB,2021-09-10,2.88,2.88,2.64,2.73
MMMB,2021-09-13,2.75,2.85,2.67,2.83
MMMB,2021-09-14,2.87,2.88,2.77,2.83
MMMB,2021-09-15,2.87,2.88,2.7,2.7
MMMB,2021-09-16,2.75,2.83,2.63,2.69
MMMB,2021-09-17,2.66,2.79,2.41,2.41
MMMB,2021-09-20,2.55,2.58,2.4,2.4
MMMB,2021-09-21,2.45,2.59,2.4,2.42
MMMB,2021-09-22,2.48,2.56,2.4,2.51
MMMB,2021-09-23,2.48,2.6,2.43,2.47
MMMB,2021-09-24,2.45,2.47,2.4,2.4
MMMB,2021-09-27,2.45,2.47,2.412,2.45
MMMB,2021-09-28,2.4,2.47,2.38,2.41
MMMB,2021-09-29,2.41,2.477,2.4,2.4
MMMB,2021-09-30,2.4,2.425,2.4,2.41
MMMB,2021-10-01,2.41,2.42,2.39,2.41
MMMB,2021-10-04,2.38,2.395,2.21,2.32
MMMB,2021-10-05,2.31,2.339,2.3,2.3
MMMB,2021-10-06,2.3,2.34,2.266,2.29
MMMB,2021-10-07,2.29,2.37,2.25,2.35
MMMB,2021-10-08,2.36,2.4,2.33,2.37
MMMB,2021-10-11,2.34,2.34,2.25,2.27
MMMB,2021-10-12,2.27,2.357,2.25,2.29
MMMB,2021-10-13,2.29,2.3,2.26,2.29
MMMB,2021-10-14,2.26,2.3,2.22,2.22
MMMB,2021-10-15,2.25,2.34,2.25,2.26
MMMB,2021-10-18,2.29,2.3,2.21,2.22
MMMB,2021-10-19,2.24,2.31,2.23,2.29
MMMB,2021-10-20,2.37,2.421,2.25,2.35
MMMB,2021-10-21,2.36,2.59,2.359,2.49
MMMB,2021-10-22,2.52,2.52,2.43,2.44
MMMB,2021-10-25,2.47,2.55,2.38,2.46
MMMB,2021-10-26,2.49,2.59,2.421,2.59
MMMB,2021-10-27,2.59,2.65,2.518,2.62
MMMB,2021-10-28,2.65,2.655,2.56,2.655
MMMB,2021-10-29,2.69,2.7,2.61,2.67
MMMB,2021-11-01,2.71,2.73,2.67,2.72
MMMB,2021-11-02,2.72,2.75,2.55,2.58
MMMB,2021-11-03,2.59,2.69,2.54,2.65
MMMB,2021-11-04,2.68,2.69,2.55,2.59
MMMB,2021-11-05,2.6,2.679,2.6,2.64
MMMB,2021-11-08,2.68,2.68,2.55,2.56
MMMB,2021-11-09,2.58,2.6,2.34,2.415
MMMB,2021-11-10,2.4,2.472,2.381,2.43
MMMB,2021-11-11,2.45,2.45,2.4,2.43
MMMB,2021-11-12,2.44,2.49,2.34,2.45
MMMB,2021-11-15,2.52,2.58,2.35,2.39
MMMB,2021-11-16,2.4,2.409,2.22,2.34
MMMB,2021-11-17,2.32,2.34,2.26,2.28
