ticker,date,open,high,low,close
MNTV,2018-09-26,18.75,20.0,16.57,17.24
MNTV,2018-09-27,18.14,18.4,16.0,16.12
MNTV,2018-09-28,16.0,16.46,15.2,16.03
MNTV,2018-10-01,16.27,16.4,15.45,15.7
MNTV,2018-10-02,15.14,15.22,14.25,14.29
MNTV,2018-10-03,14.5,15.25,14.22,14.74
MNTV,2018-10-04,14.56,14.65,13.2,13.48
MNTV,2018-10-05,13.42,13.9,13.3,13.83
MNTV,2018-10-08,13.8,14.39,13.2,14.21
MNTV,2018-10-09,14.07,14.07,12.64,12.85
MNTV,2018-10-10,12.79,12.9,11.37,11.94
MNTV,2018-10-11,11.61,12.58,11.61,12.47
MNTV,2018-10-12,12.62,12.95,12.29,12.89
MNTV,2018-10-15,12.88,13.0,12.24,12.82
MNTV,2018-10-16,12.87,13.17,12.6,13.06
MNTV,2018-10-17,13.03,13.59,12.71,13.49
MNTV,2018-10-18,13.47,13.99,13.39,13.75
MNTV,2018-10-19,13.75,13.93,12.65,13.02
MNTV,2018-10-22,12.96,13.03,11.31,11.63
MNTV,2018-10-23,11.48,11.49,10.72,11.07
MNTV,2018-10-24,11.03,11.12,10.8,10.99
MNTV,2018-10-25,11.0,11.47,10.76,11.45
MNTV,2018-10-26,11.25,11.91,11.02,11.39
MNTV,2018-10-29,11.46,11.76,10.08,10.34
MNTV,2018-10-30,10.31,10.56,10.05,10.3
MNTV,2018-10-31,10.38,10.79,10.24,10.71
MNTV,2018-11-01,10.77,11.33,10.48,11.28
MNTV,2018-11-02,11.26,11.7,11.25,11.57
MNTV,2018-11-05,11.6,11.6,10.88,11.23
MNTV,2018-11-06,11.2,11.38,11.09,11.25
MNTV,2018-11-07,11.29,11.95,11.25,11.9
MNTV,2018-11-08,12.0,12.0,11.32,11.43
MNTV,2018-11-09,11.26,11.37,10.55,10.77
MNTV,2018-11-12,11.34,11.9,10.62,11.5
MNTV,2018-11-13,11.49,11.88,11.08,11.29
MNTV,2018-11-14,11.95,13.45,11.0,12.77
MNTV,2018-11-15,13.15,13.7,12.8,13.21
MNTV,2018-11-16,12.37,14.27,12.37,14.15
MNTV,2018-11-19,14.1,14.1,12.25,12.99
MNTV,2018-11-20,12.25,13.1,12.24,13.05
MNTV,2018-11-21,13.15,13.3,12.27,12.8
MNTV,2018-11-23,12.58,13.45,12.51,13.0
MNTV,2018-11-26,13.15,13.47,12.79,13.32
MNTV,2018-11-27,13.21,13.54,13.03,13.31
MNTV,2018-11-28,13.44,14.1,13.42,14.01
MNTV,2018-11-29,14.1,14.93,13.81,14.54
MNTV,2018-11-30,14.54,15.24,13.23,14.28
MNTV,2018-12-03,14.38,14.75,14.04,14.34
MNTV,2018-12-04,14.2,14.54,13.92,14.22
MNTV,2018-12-06,13.61,14.25,13.21,13.89
MNTV,2018-12-07,13.9,14.25,13.4,13.51
MNTV,2018-12-10,13.43,13.89,13.08,13.21
MNTV,2018-12-11,13.42,13.8,12.83,12.94
MNTV,2018-12-12,13.15,13.27,12.86,13.04
MNTV,2018-12-13,13.04,13.44,12.82,12.94
MNTV,2018-12-14,12.75,13.03,12.38,12.45
MNTV,2018-12-17,12.37,12.37,10.78,10.97
MNTV,2018-12-18,11.08,11.47,10.99,11.01
MNTV,2018-12-19,11.06,11.71,10.71,11.05
MNTV,2018-12-20,10.94,11.14,10.56,11.03
MNTV,2018-12-21,11.09,11.37,10.72,10.98
MNTV,2018-12-24,10.72,11.35,10.55,10.85
MNTV,2018-12-26,10.8,11.35,10.35,11.34
MNTV,2018-12-27,11.24,11.24,10.6,11.19
MNTV,2018-12-28,11.18,11.45,11.01,11.22
MNTV,2018-12-31,11.19,12.31,11.16,12.27
MNTV,2019-01-02,12.06,12.38,11.7,11.91
MNTV,2019-01-03,11.77,12.09,11.31,11.72
MNTV,2019-01-04,11.93,12.73,11.74,12.66
MNTV,2019-01-07,12.76,13.84,12.58,13.4
MNTV,2019-01-08,13.51,13.9,12.85,13.63
MNTV,2019-01-09,13.68,13.88,13.32,13.47
MNTV,2019-01-10,13.32,13.64,12.82,13.04
MNTV,2019-01-11,12.98,13.57,12.98,13.37
MNTV,2019-01-14,13.29,13.66,13.17,13.36
MNTV,2019-01-15,13.45,13.6,13.3,13.41
MNTV,2019-01-16,13.4,13.59,13.15,13.3
MNTV,2019-01-17,13.2,13.2,12.53,13.09
MNTV,2019-01-18,13.17,13.6,12.97,13.41
MNTV,2019-01-22,13.32,13.34,12.6,12.77
MNTV,2019-01-23,12.83,13.21,12.59,12.72
MNTV,2019-01-24,12.78,13.22,12.57,13.18
MNTV,2019-01-25,13.24,13.45,13.06,13.23
MNTV,2019-01-28,13.11,13.17,12.6,12.9
MNTV,2019-01-29,12.9,13.05,12.62,12.64
MNTV,2019-01-30,12.75,12.99,12.59,12.67
