ticker,date,open,high,low,close
OCS,2023-03-03,10.95,13.95,9.33,10.89
OCS,2023-03-06,11.88,11.995,8.86,9.38
OCS,2023-03-07,9.25,10.0,8.6601,9.67
OCS,2023-03-08,9.92,10.1,9.5,10.09
OCS,2023-03-09,9.38,9.8715,9.38,9.75
OCS,2023-03-10,9.4001,9.6177,9.0,9.2122
OCS,2023-03-13,9.61,9.65,8.8,8.81
OCS,2023-03-14,8.8,9.3,8.8,9.3
OCS,2023-03-15,8.86,8.96,8.0,8.01
OCS,2023-03-16,8.1,8.7189,8.0,8.06
OCS,2023-03-17,8.3,8.3,8.0,8.015
OCS,2023-03-20,8.55,8.55,7.625,7.75
OCS,2023-03-21,8.105,8.4,7.81,7.85
OCS,2023-03-22,8.27,10.85,7.25,7.3
OCS,2023-03-23,7.5,7.9999,6.8,7.05
OCS,2023-03-24,7.05,7.48,6.39,6.99
OCS,2023-03-27,6.66,7.1,6.26,6.99
OCS,2023-03-28,7.0,7.99,6.98,7.3
OCS,2023-03-29,7.3,8.5,7.28,8.17
OCS,2023-03-30,7.36,8.4,7.36,7.7
OCS,2023-03-31,7.7,7.7,7.41,7.43
OCS,2023-04-03,7.4901,7.8014,7.4901,7.8014
OCS,2023-04-04,7.8,8.2,7.8,8.1
OCS,2023-04-05,8.02,8.45,7.82,8.02
OCS,2023-04-06,8.01,8.01,8.01,8.01
OCS,2023-04-10,8.04,8.35,8.04,8.09
OCS,2023-04-11,8.01,8.25,7.96,8.0
OCS,2023-04-12,8.43,8.9,8.43,8.63
OCS,2023-04-13,8.5001,9.2,8.5001,9.02
OCS,2023-04-14,9.0,9.99,9.0,9.5
OCS,2023-04-17,9.48,11.0,9.48,10.506
OCS,2023-04-18,10.9999,11.0,10.7,10.9
OCS,2023-04-19,11.14,11.14,10.38,10.75
OCS,2023-04-20,10.95,11.4735,10.31,10.35
OCS,2023-04-21,10.01,10.8616,10.0,10.8616
OCS,2023-04-24,11.47,11.85,11.47,11.75
OCS,2023-04-25,11.13,11.13,10.3602,10.9001
OCS,2023-04-26,11.0,11.0,10.6,10.6
OCS,2023-04-27,10.9,10.9,10.86,10.86
OCS,2023-04-28,11.13,11.13,10.7501,11.13
OCS,2023-05-01,11.13,12.88,11.0,12.61
OCS,2023-05-02,11.5,12.88,11.5,12.8
OCS,2023-05-03,12.55,13.05,12.01,12.4
OCS,2023-05-04,12.5,13.0,12.07,12.42
OCS,2023-05-05,13.0,13.0,12.44,12.79
OCS,2023-05-08,12.69,12.69,10.4,10.42
OCS,2023-05-09,11.04,11.5,10.5,10.66
OCS,2023-05-10,10.98,11.41,10.0,10.48
OCS,2023-05-11,10.48,11.0,10.4308,10.5
OCS,2023-05-12,10.5,11.1565,10.5,10.8
OCS,2023-05-15,11.5001,11.56,10.91,11.06
OCS,2023-05-16,11.505,12.0,11.08,11.56
OCS,2023-05-17,12.0,12.0,11.56,11.79
OCS,2023-05-18,12.0,12.0,11.7,11.9
OCS,2023-05-19,12.5,12.5,12.06,12.062
OCS,2023-05-22,12.8,13.4,12.5,12.7
OCS,2023-05-23,12.5,12.5,12.01,12.12
OCS,2023-05-24,12.15,12.4999,12.01,12.4288
OCS,2023-05-25,12.16,12.33,12.0,12.0
OCS,2023-05-26,11.51,12.15,11.51,12.0
OCS,2023-05-30,11.5,11.9628,11.05,11.07
OCS,2023-05-31,11.82,12.4,11.4,11.5
OCS,2023-06-01,11.2,11.3,9.85,11.0
OCS,2023-06-02,10.87,11.2,10.12,11.01
OCS,2023-06-05,11.41,12.35,11.2,11.5
OCS,2023-06-06,11.52,11.99,11.4,11.79
OCS,2023-06-07,11.6226,11.6226,11.3,11.33
OCS,2023-06-08,11.6,11.8,11.3,11.5
OCS,2023-06-09,11.6,11.79,11.07,11.07
OCS,2023-06-12,11.74,11.8,11.3437,11.57
OCS,2023-06-13,11.7,11.75,11.335,11.5
OCS,2023-06-14,11.75,11.8,11.5,11.6
OCS,2023-06-15,11.8,12.25,11.64,12.25
OCS,2023-06-16,12.5,12.69,12.06,12.555
OCS,2023-06-20,12.75,12.84,12.04,12.39
OCS,2023-06-21,12.28,12.36,12.28,12.325
OCS,2023-06-22,12.2,12.49,12.2,12.35
OCS,2023-06-23,12.5,12.5,12.35,12.425
OCS,2023-06-26,12.4,12.5,12.4,12.41
OCS,2023-06-27,11.7,12.4,11.52,12.3
OCS,2023-06-28,12.0,12.19,11.55,12.19
OCS,2023-06-29,12.11,12.3,11.9,11.9
OCS,2023-06-30,12.5,12.55,12.3,12.33
OCS,2023-07-03,12.5,12.5,12.3,12.3882
OCS,2023-07-05,12.24,12.37,12.21,12.23
OCS,2023-07-06,12.2,12.75,12.2,12.74
OCS,2023-07-07,12.75,12.75,12.0,12.5
OCS,2023-07-10,12.06,12.5,12.06,12.5
OCS,2023-07-11,12.74,12.74,12.0512,12.27
OCS,2023-07-12,12.1,12.6,12.1,12.1
OCS,2023-07-13,12.2,12.7,12.11,12.37
OCS,2023-07-14,12.49,12.525,12.375,12.5
OCS,2023-07-17,12.5,12.5,12.35,12.36
OCS,2023-07-18,12.5,12.5,12.18,12.33
OCS,2023-07-19,12.5,12.5,12.1813,12.1813
OCS,2023-07-20,12.29,12.5,12.29,12.49
OCS,2023-07-21,12.5,12.5,12.38,12.48
