ticker,date,open,high,low,close
UTAA,2022-01-25,9.8,9.85,9.72,9.79
UTAA,2022-01-26,9.87,9.87,9.82,9.82
UTAA,2022-01-27,9.83,9.83,9.83,9.83
UTAA,2022-01-28,9.8,9.8,9.8,9.8
UTAA,2022-01-31,9.78,9.94,9.78,9.86
UTAA,2022-02-01,9.86,9.86,9.86,9.86
UTAA,2022-02-02,9.9,9.9,9.9,9.9
UTAA,2022-02-03,9.85,9.85,9.83,9.85
UTAA,2022-02-04,9.9,9.9,9.79,9.81
UTAA,2022-02-07,9.81,9.81,9.81,9.81
UTAA,2022-02-08,9.8,9.8,9.74,9.74
UTAA,2022-02-09,9.8,9.82,9.8,9.8
UTAA,2022-02-10,9.8,9.8,9.8,9.8
UTAA,2022-02-11,9.9,9.94,9.75,9.89
UTAA,2022-02-14,9.89,9.89,9.89,9.89
UTAA,2022-02-15,9.89,9.89,9.89,9.89
UTAA,2022-02-16,9.89,9.89,9.89,9.89
UTAA,2022-02-17,9.89,9.89,9.89,9.89
UTAA,2022-02-18,9.89,9.89,9.89,9.89
UTAA,2022-02-22,9.89,9.89,9.89,9.89
UTAA,2022-02-23,9.89,9.89,9.89,9.89
UTAA,2022-02-24,9.78,9.8,9.77,9.8
UTAA,2022-02-25,9.8,9.8,9.8,9.8
UTAA,2022-02-28,9.8,9.8,9.8,9.8
UTAA,2022-03-01,9.82,9.84,9.8,9.84
UTAA,2022-03-02,9.85,9.85,9.85,9.85
UTAA,2022-03-03,9.81,9.81,9.81,9.81
UTAA,2022-03-04,9.84,9.84,9.84,9.84
UTAA,2022-03-07,9.85,9.85,9.84,9.84
UTAA,2022-03-08,9.84,9.84,9.84,9.84
UTAA,2022-03-09,9.84,9.84,9.84,9.84
UTAA,2022-03-10,9.83,9.83,9.81,9.83
UTAA,2022-03-11,9.83,9.83,9.83,9.83
UTAA,2022-03-14,9.83,9.85,9.83,9.85
UTAA,2022-03-15,9.85,9.85,9.84,9.84
UTAA,2022-03-16,9.84,9.85,9.83,9.85
UTAA,2022-03-17,9.85,9.85,9.82,9.82
UTAA,2022-03-18,9.84,9.85,9.84,9.84
UTAA,2022-03-21,9.84,9.84,9.84,9.84
UTAA,2022-03-22,9.86,9.86,9.86,9.86
UTAA,2022-03-23,9.86,9.86,9.86,9.86
UTAA,2022-03-24,9.89,9.89,9.86,9.86
UTAA,2022-03-25,9.86,9.86,9.86,9.86
UTAA,2022-03-28,9.86,9.86,9.86,9.86
UTAA,2022-03-29,9.86,9.86,9.86,9.86
UTAA,2022-03-30,9.86,9.86,9.86,9.86
UTAA,2022-03-31,9.86,9.86,9.86,9.86
UTAA,2022-04-01,9.86,9.86,9.86,9.86
UTAA,2022-04-04,9.87,9.89,9.84,9.86
UTAA,2022-04-05,9.86,9.92,9.85,9.89
UTAA,2022-04-06,10.08,10.08,10.02,10.05
UTAA,2022-04-07,10.07,10.16,10.02,10.1
UTAA,2022-04-08,10.14,10.2,10.07,10.18
UTAA,2022-04-11,10.14,10.18,10.07,10.13
UTAA,2022-04-12,10.26,10.26,10.11,10.15
UTAA,2022-04-13,10.13,10.31,10.12,10.22
UTAA,2022-04-14,10.25,10.3,10.15,10.18
UTAA,2022-04-18,10.28,10.3,10.15,10.2
UTAA,2022-04-19,10.26,10.26,10.13,10.17
UTAA,2022-04-20,10.17,10.19,10.15,10.18
UTAA,2022-04-21,10.25,10.25,10.13,10.15
UTAA,2022-04-22,10.16,10.17,10.06,10.16
UTAA,2022-04-25,10.06,10.16,10.06,10.15
UTAA,2022-04-26,10.18,10.2,10.07,10.1
UTAA,2022-04-27,10.09,10.12,9.99,10.07
UTAA,2022-04-28,10.04,10.1,10.01,10.07
UTAA,2022-04-29,10.04,10.09,10.03,10.06
UTAA,2022-05-02,10.05,10.1,10.05,10.05
UTAA,2022-05-03,10.06,10.09,10.05,10.07
UTAA,2022-05-04,10.05,10.08,10.03,10.06
UTAA,2022-05-05,10.07,10.08,10.02,10.05
UTAA,2022-05-06,10.03,10.05,9.95,9.96
UTAA,2022-05-09,9.99,9.99,9.87,9.97
UTAA,2022-05-10,9.95,10.05,9.95,10.0
UTAA,2022-05-11,9.98,10.02,9.92,9.97
UTAA,2022-05-12,10.0,10.0,9.91,9.95
UTAA,2022-05-13,9.93,10.06,9.9,10.0
UTAA,2022-05-16,10.0,10.0,9.93,9.94
UTAA,2022-05-17,9.94,9.98,9.94,9.97
UTAA,2022-05-18,9.95,9.99,9.93,9.94
UTAA,2022-05-19,9.95,9.98,9.93,9.95
UTAA,2022-05-20,9.95,9.97,9.91,9.93
UTAA,2022-05-23,9.92,9.95,9.89,9.89
UTAA,2022-05-24,9.91,9.94,9.88,9.91
UTAA,2022-05-25,9.91,9.97,9.9,9.91
UTAA,2022-05-26,9.9,9.92,9.9,9.91
UTAA,2022-05-27,9.92,9.93,9.9,9.92
UTAA,2022-05-31,9.92,9.92,9.88,9.91
UTAA,2022-06-01,9.93,9.93,9.91,9.91
UTAA,2022-06-02,9.92,9.92,9.91,9.91
UTAA,2022-06-03,9.92,9.92,9.9,9.91
UTAA,2022-06-06,9.91,9.91,9.9,9.91
UTAA,2022-06-07,9.89,9.92,9.88,9.9
UTAA,2022-06-08,9.94,10.23,9.92,10.15
UTAA,2022-06-09,10.02,10.04,9.97,10.0
UTAA,2022-06-10,9.97,9.99,9.92,9.98
UTAA,2022-06-13,9.93,9.96,9.91,9.95
UTAA,2022-06-14,9.95,9.95,9.92,9.94
UTAA,2022-06-15,9.94,10.02,9.93,9.97
UTAA,2022-06-16,9.96,9.96,9.95,9.96
UTAA,2022-06-17,9.96,9.97,9.94,9.97
UTAA,2022-06-21,9.97,9.97,9.94,9.95
UTAA,2022-06-22,9.94,9.94,9.91,9.92
UTAA,2022-06-23,9.95,9.95,9.92,9.92
UTAA,2022-06-24,9.94,9.94,9.92,9.92
UTAA,2022-06-27,9.94,9.94,9.91,9.92
UTAA,2022-06-28,9.94,9.94,9.91,9.93
UTAA,2022-06-29,9.91,9.94,9.91,9.93
UTAA,2022-06-30,9.92,9.92,9.91,9.92
UTAA,2022-07-01,9.91,9.94,9.91,9.92
UTAA,2022-07-05,9.92,9.92,9.91,9.92
UTAA,2022-07-06,9.92,9.93,9.91,9.93
UTAA,2022-07-07,9.93,9.93,9.91,9.92
UTAA,2022-07-08,9.95,9.95,9.91,9.93
UTAA,2022-07-11,9.91,9.93,9.91,9.93
UTAA,2022-07-12,9.92,9.94,9.91,9.93
UTAA,2022-07-13,9.93,9.93,9.92,9.93
UTAA,2022-07-14,9.92,9.93,9.92,9.92
UTAA,2022-07-15,9.92,9.94,9.92,9.93
UTAA,2022-07-18,9.91,9.93,9.91,9.93
UTAA,2022-07-19,9.92,9.93,9.92,9.92
UTAA,2022-07-20,9.91,9.93,9.91,9.92
UTAA,2022-07-21,9.91,9.94,9.91,9.92
UTAA,2022-07-22,9.94,9.94,9.93,9.93
UTAA,2022-07-25,9.93,9.95,9.93,9.94
UTAA,2022-07-26,9.96,9.96,9.93,9.94
UTAA,2022-07-27,9.94,9.94,9.93,9.94
UTAA,2022-07-28,9.9,9.98,9.9,9.94
UTAA,2022-07-29,9.93,9.97,9.93,9.97
UTAA,2022-08-01,9.98,9.98,9.95,9.95
UTAA,2022-08-02,9.98,9.98,9.94,9.95
UTAA,2022-08-03,9.95,9.96,9.93,9.94
UTAA,2022-08-04,9.94,9.96,9.94,9.94
UTAA,2022-08-05,9.96,9.96,9.94,9.95
UTAA,2022-08-08,9.95,9.97,9.94,9.95
UTAA,2022-08-09,9.94,9.96,9.94,9.95
UTAA,2022-08-10,9.94,9.97,9.94,9.95
UTAA,2022-08-11,9.96,9.99,9.95,9.98
UTAA,2022-08-12,9.99,9.99,9.98,9.98
UTAA,2022-08-15,9.98,9.98,9.95,9.97
UTAA,2022-08-16,9.97,9.97,9.95,9.97
UTAA,2022-08-17,9.97,9.97,9.9,9.93
UTAA,2022-08-18,9.95,9.95,9.92,9.94
UTAA,2022-08-19,9.93,9.93,9.92,9.93
UTAA,2022-08-22,9.94,9.97,9.93,9.97
UTAA,2022-08-23,9.96,9.97,9.92,9.94
UTAA,2022-08-24,9.93,9.94,9.93,9.94
UTAA,2022-08-25,9.95,9.97,9.93,9.97
UTAA,2022-08-26,9.94,9.96,9.94,9.95
UTAA,2022-08-29,9.92,9.99,9.92,9.96
