ticker,date,open,high,low,close
RETA,2016-05-26,11.06,14.0,11.03,13.07
RETA,2016-05-27,13.33,14.49,12.95,14.28
RETA,2016-05-31,14.0,14.96,13.5,13.85
RETA,2016-06-01,13.85,14.49,12.62,14.3
RETA,2016-06-02,14.46,16.0,14.0,15.34
RETA,2016-06-03,15.89,18.9,15.25,18.71
RETA,2016-06-06,19.27,19.77,17.16,17.45
RETA,2016-06-07,18.17,19.25,16.8,18.45
RETA,2016-06-08,19.0,21.98,17.85,21.75
RETA,2016-06-09,21.69,23.91,21.66,23.15
RETA,2016-06-10,23.14,25.39,23.1,24.79
RETA,2016-06-13,24.45,26.9,24.19,25.0
RETA,2016-06-14,24.91,24.91,20.88,21.8
RETA,2016-06-15,21.41,23.3,20.8,23.25
RETA,2016-06-16,23.2,23.6,20.9,22.0
RETA,2016-06-17,22.0,23.42,20.59,22.0
RETA,2016-06-20,23.0,23.48,17.31,17.76
RETA,2016-06-21,17.43,20.49,16.57,19.99
RETA,2016-06-22,19.95,20.71,19.01,19.73
RETA,2016-06-23,19.53,20.43,18.45,19.89
RETA,2016-06-24,18.75,21.26,16.81,20.14
RETA,2016-06-27,19.59,20.29,18.25,19.56
RETA,2016-06-28,19.5,20.85,19.5,20.03
RETA,2016-06-29,20.63,20.63,19.5,19.96
RETA,2016-06-30,19.5,20.17,19.5,19.75
RETA,2016-07-01,19.98,20.55,19.55,19.99
RETA,2016-07-05,20.5,20.55,17.68,17.79
RETA,2016-07-06,17.4,18.75,17.4,18.0
RETA,2016-07-07,17.69,18.15,17.59,17.99
RETA,2016-07-08,17.48,18.18,17.3,17.34
RETA,2016-07-11,17.35,17.7,16.0,16.24
RETA,2016-07-12,16.34,17.05,16.12,16.81
RETA,2016-07-13,17.44,17.88,16.99,17.3
RETA,2016-07-14,17.4,17.92,16.37,17.52
RETA,2016-07-15,17.63,17.86,16.91,17.7
RETA,2016-07-18,17.65,18.6,17.45,18.53
RETA,2016-07-19,18.59,19.33,18.39,18.56
RETA,2016-07-20,18.87,18.94,17.14,17.35
RETA,2016-07-21,17.36,18.13,17.08,17.56
RETA,2016-07-22,17.5,17.71,16.8,16.81
RETA,2016-07-25,16.88,16.88,16.12,16.3
RETA,2016-07-26,16.34,16.34,15.55,15.75
RETA,2016-07-27,15.65,16.08,15.65,15.96
RETA,2016-07-28,16.31,16.31,15.89,16.2
RETA,2016-07-29,16.06,16.07,15.98,16.03
RETA,2016-08-01,16.09,16.29,15.76,15.96
RETA,2016-08-02,15.88,15.96,15.29,15.6
RETA,2016-08-03,15.78,16.27,15.18,16.08
RETA,2016-08-04,15.92,16.09,15.87,15.87
RETA,2016-08-05,16.09,16.09,15.95,16.05
RETA,2016-08-08,16.15,16.15,15.97,16.02
RETA,2016-08-09,16.04,16.22,15.61,16.18
RETA,2016-08-10,16.14,16.21,15.85,15.93
RETA,2016-08-11,15.62,16.12,15.62,15.85
RETA,2016-08-12,16.08,16.33,15.5,15.51
RETA,2016-08-15,16.48,16.48,15.87,15.95
RETA,2016-08-16,15.97,16.63,15.9,16.51
RETA,2016-08-17,17.0,17.44,17.0,17.2
RETA,2016-08-18,16.03,17.8,16.03,17.49
RETA,2016-08-19,17.89,20.62,17.89,18.38
RETA,2016-08-22,18.68,18.73,17.53,17.58
RETA,2016-08-23,20.0,20.0,17.66,17.86
RETA,2016-08-24,17.69,18.06,17.69,18.03
RETA,2016-08-25,18.03,18.94,18.03,18.07
RETA,2016-08-26,18.08,19.36,18.08,19.21
RETA,2016-08-29,19.0,19.16,18.2,18.99
RETA,2016-08-30,19.56,19.56,18.63,19.15
RETA,2016-08-31,18.8,19.07,18.6,19.07
RETA,2016-09-01,19.47,19.47,18.56,18.98
RETA,2016-09-02,18.83,19.3,18.76,19.22
RETA,2016-09-06,19.38,21.05,19.22,21.05
RETA,2016-09-07,25.95,25.95,22.45,24.99
RETA,2016-09-08,25.25,26.0,23.86,25.82
RETA,2016-09-09,25.65,25.98,24.89,25.72
RETA,2016-09-12,25.53,29.73,25.0,29.13
RETA,2016-09-13,28.95,28.95,26.75,27.68
RETA,2016-09-14,28.44,28.75,26.38,26.45
RETA,2016-09-15,26.25,27.44,26.2,27.28
RETA,2016-09-16,28.24,29.88,27.03,29.56
RETA,2016-09-19,30.0,32.22,29.57,30.05
RETA,2016-09-20,30.05,30.41,26.15,26.45
RETA,2016-09-21,26.59,29.65,26.48,27.71
