ticker,date,open,high,low,close
SDA,2023-05-18,4.98,6.59,3.8,4.1
SDA,2023-05-19,7.14,8.27,5.83,7.8
SDA,2023-05-22,6.03,6.77,4.955,6.59
SDA,2023-05-23,5.83,8.8,5.81,8.1
SDA,2023-05-24,7.64,9.79,7.6,9.33
SDA,2023-05-25,8.88,16.88,8.88,15.06
SDA,2023-05-26,9.64,17.09,9.36,16.08
SDA,2023-05-30,15.15,19.7499,14.3,19.49
SDA,2023-05-31,18.61,43.05,11.7,43.05
SDA,2023-06-01,39.2,45.73,26.6301,43.31
SDA,2023-06-02,31.06,40.4,20.94,23.3
SDA,2023-06-05,20.26,24.15,10.93,11.68
SDA,2023-06-06,11.67,13.81,11.27,12.8
SDA,2023-06-07,11.7,15.5,11.1101,13.9
SDA,2023-06-08,13.31,15.9534,13.1,14.4
SDA,2023-06-09,13.71,14.5834,13.045,13.7
SDA,2023-06-12,13.15,19.44,12.9797,16.87
SDA,2023-06-13,18.1,18.865,14.72,16.68
SDA,2023-06-14,16.0,18.0,13.3,17.57
SDA,2023-06-15,16.2,23.8305,16.2,21.2
SDA,2023-06-16,20.81,25.94,20.7,21.97
SDA,2023-06-20,22.8,26.5499,22.21,25.66
SDA,2023-06-21,25.4,27.8,25.0,25.65
SDA,2023-06-22,24.77,26.58,22.08,25.105
SDA,2023-06-23,24.8,25.3499,23.01,25.115
SDA,2023-06-26,25.1,25.49,24.17,25.36
SDA,2023-06-27,25.1,26.9999,20.1,24.7
SDA,2023-06-28,24.15,25.289,23.1,24.61
SDA,2023-06-29,24.61,28.3352,24.1,26.02
SDA,2023-06-30,25.97,26.9994,24.9897,25.77
SDA,2023-07-03,25.32,25.32,23.5001,24.06
SDA,2023-07-05,24.15,24.45,22.09,23.54
SDA,2023-07-06,22.66,23.09,21.1,21.72
SDA,2023-07-07,21.72,22.51,20.29,22.23
SDA,2023-07-10,21.5,22.34,18.94,21.72
SDA,2023-07-11,21.03,21.575,13.36,14.01
SDA,2023-07-12,14.15,15.03,11.55,11.7
SDA,2023-07-13,12.0,12.0,7.6101,8.18
SDA,2023-07-14,8.56,9.1406,8.2501,8.85
SDA,2023-07-17,9.2,11.44,8.6201,10.9
SDA,2023-07-18,11.03,11.1222,9.4729,10.08
SDA,2023-07-19,10.01,13.4799,10.0026,12.52
SDA,2023-07-20,12.53,15.25,11.91,12.2
SDA,2023-07-21,13.1,13.19,11.7,12.25
