date,open,high,low,close
1962-01-07,1.0,11.19,10.78,11.0
1962-01-14,1.0,11.44,10.56,10.75
1962-01-21,1.0,10.75,9.94,10.31
1962-01-28,1.0,10.78,10.25,10.56
1962-02-04,1.0,10.97,10.41,10.94
1962-02-11,1.0,11.12,10.72,10.97
1962-02-18,1.0,11.03,10.56,10.94
1962-02-25,1.0,10.94,10.62,10.59
1962-03-04,1.0,11.06,10.56,10.88
1962-03-11,1.0,10.88,10.5,10.69
1962-03-18,1.0,11.0,10.53,10.94
1962-03-25,1.0,11.06,10.81,10.94
1962-04-01,1.0,11.06,10.78,10.88
1962-04-08,1.0,11.03,10.72,10.97
1962-04-15,1.0,11.09,10.56,10.59
1962-04-22,1.0,10.94,10.62,10.795
1962-04-29,1.0,10.94,10.0,10.25
1962-05-06,1.0,10.47,9.94,10.28
1962-05-13,1.0,10.34,9.59,9.75
1962-05-20,1.0,9.78,9.44,9.53
1962-05-27,1.0,9.5,8.62,8.66
1962-06-03,1.0,9.62,7.88,8.78
1962-06-10,1.0,8.88,8.12,8.62
1962-06-17,1.0,8.66,7.97,8.19
1962-06-24,1.0,8.31,7.5,7.72
1962-07-01,1.0,8.06,7.34,7.84
1962-07-08,1.0,8.38,7.81,8.31
1962-07-15,1.0,8.59,8.12,8.31
1962-07-22,1.0,8.44,7.78,7.97
1962-07-29,1.0,7.97,7.56,7.69
1962-08-05,1.0,7.94,7.5,7.72
1962-08-12,1.0,7.69,7.34,7.41
1962-08-19,1.0,7.66,7.28,7.56
1962-08-26,1.0,7.54,7.25,7.5
1962-09-02,1.0,7.56,7.28,7.56
1962-09-09,1.0,7.56,7.12,7.25
1962-09-16,1.0,7.25,6.97,7.22
1962-09-23,1.0,7.25,6.84,6.94
1962-09-30,1.0,7.12,6.66,6.94
1962-10-07,1.0,6.97,6.75,6.84
1962-10-14,1.0,6.94,6.69,6.84
1962-10-21,1.0,7.06,6.5,6.56
1962-10-28,1.0,6.84,6.22,6.84
1962-11-04,1.0,7.38,6.78,7.31
1962-11-11,1.0,8.0,7.38,7.94
1962-11-18,1.0,8.25,7.94,8.03
1962-11-25,1.0,8.09,7.78,8.03
1962-12-02,1.0,8.47,7.94,8.25
1962-12-09,1.0,8.28,7.78,7.88
1962-12-16,1.0,8.31,7.81,8.25
1962-12-23,1.0,8.41,8.12,8.19
1962-12-30,1.0,8.31,8.03,8.16
1963-01-06,1.0,8.56,8.16,8.5
1963-01-13,1.0,8.78,8.47,8.69
1963-01-20,1.0,8.91,8.38,8.81
1963-01-27,1.0,9.03,8.69,8.97
1963-02-03,1.0,9.09,8.38,8.44
1963-02-10,1.0,8.78,8.31,8.69
1963-02-17,1.0,8.72,8.44,8.53
1963-02-24,1.0,8.72,8.28,8.477500000000001
1963-03-03,1.0,8.44,7.91,7.94
1963-03-10,1.0,8.41,7.97,8.41
1963-03-17,1.0,8.47,8.16,8.34
1963-03-24,1.0,8.44,8.09,8.31
1963-03-31,1.0,8.44,8.22,8.28
1963-04-07,1.0,8.78,8.34,8.78
1963-04-14,1.0,8.84,8.69,8.84
1963-04-21,1.0,8.84,8.66,8.78
1963-04-28,1.0,9.22,8.75,9.03
1963-05-05,1.0,9.31,9.03,9.03
1963-05-12,1.0,9.25,8.91,9.16
1963-05-19,1.0,9.47,8.94,9.34
1963-05-26,1.0,9.38,8.94,8.94
1963-06-02,1.0,9.34,8.88,9.28
1963-06-09,1.0,9.34,9.09,9.12
1963-06-16,1.0,9.25,8.69,8.69
1963-06-23,1.0,8.88,8.41,8.81
1963-06-30,1.0,9.0,8.66,8.66
1963-07-07,1.0,8.72,8.44,8.66
1963-07-14,1.0,8.69,8.38,8.5
1963-07-21,1.0,8.56,8.28,8.53
1963-07-28,1.0,8.59,8.41,8.5
1963-08-04,1.0,8.94,8.44,8.94
1963-08-11,1.0,9.06,8.81,9.06
1963-08-18,1.0,9.41,8.81,9.25
1963-08-25,1.0,9.59,9.06,9.38
1963-09-01,1.0,9.72,9.38,9.41
1963-09-08,1.0,9.59,9.38,9.47
1963-09-15,1.0,10.0,9.5,9.97
1963-09-22,1.0,10.53,9.94,10.44
1963-09-29,1.0,10.47,9.59,9.75
1963-10-06,1.0,10.16,9.72,10.06
1963-10-13,1.0,10.19,9.75,9.97
1963-10-20,1.0,10.47,9.94,10.47
1963-10-27,1.0,10.84,10.28,10.75
1963-11-03,1.0,10.78,10.16,10.25
1963-11-10,1.0,10.56,10.0,10.53
1963-11-17,1.0,10.72,10.31,10.38
1963-11-24,1.0,10.41,9.5,9.69
1963-12-01,1.0,10.28,9.875,10.22
1963-12-08,1.0,10.5,10.09,10.5
1963-12-15,1.0,10.69,10.44,10.62
1963-12-22,1.0,10.72,10.25,10.47
1963-12-29,1.0,10.47,10.28,10.28
1964-01-05,1.0,10.41,10.28,10.41
1964-01-12,1.0,10.66,10.28,10.62
1964-01-19,1.0,10.94,10.59,10.62
1964-01-26,1.0,10.72,10.16,10.47
1964-02-02,1.0,10.56,10.34,10.44
1964-02-09,1.0,10.44,10.28,10.34
1964-02-16,1.0,10.72,10.25,10.56
1964-02-23,1.0,11.0075,10.5,10.9175
1964-03-01,1.0,11.28,10.91,11.19
